description,brand,calories,protein,fat,carbohydrates,fiber,sugar,sodium
"BANANA SINGLE DECKER PIES, BANANA",Chattanooga Bakery Inc,386.0,5.26,10.5,70.2,1.8,,132.0
"BANANA SINGLE DECKER PIES, BANANA",Chattanooga Bakery Inc,386.0,5.26,10.5,70.2,1.8,,132.0
"BANANA SOFT BAKED BARS, BANANA",The J.M. Smucker Company,459.0,13.5,27.0,48.6,5.4,,459.0
"BANANA SPLIT ICE CREAM, BANANA",Quisling Media,239.0,2.82,14.1,26.8,0.0,,70.0
"BANANA STREUSEL MUFFINS, BANANA STREUSEL","Wal-Mart Stores, Inc.",389.0,3.54,18.6,51.3,0.9,,292.0
"BANANA SUNDAE MIX, BANANA SUNDAE",Nabisco Food Company,556.0,11.1,37.0,48.2,3.7,,130.0
"BANANA TWINS SNACK CAKES, BANANA",McKee Foods Corporation,419.0,3.23,16.1,66.1,0.0,,226.0
"BANANA WALNUT BREAD, BANANA WALNUT","Cole's Quality Foods, Inc.",259.0,6.9,6.03,43.1,3.4,,190.0
"BANANA WALNUT GRANOLA, BANANA WALNUT",Rafael Padilla & Cia S. En C.,467.0,6.67,13.3,56.7,10.0,,83.0
"BANANAS FOSTER ICE CREAM, BANANA","hudsonville creamery and ice cream co., LLC",234.0,3.12,9.38,32.8,0.0,,109.0
"CHOCOLATE BANANA CEREAL, CHOCOLATE BANANA",Catalina Snacks Inc.,306.0,30.6,16.7,38.9,25.0,,347.0
"CHOCOLATE BANANA CHIPS, CHOCOLATE BANANA","Dierberg's Markets, Inc.",500.0,3.33,30.0,63.3,3.3,,33.0
"CHOCOLATE BANANA GRANOLA MINIS, BANANA","Inventive Products Laboratories, Inc.",458.0,8.33,16.7,66.7,8.3,,21.0
"COMPLETE BANANA NUT BREAD, BANANA",PS Lets Eat,158.0,9.13,12.4,9.13,3.3,,27.0
"GIANT EAGLE, WAFFLES, BANANA, BANANA","Giant Eagle, Inc.",300.0,5.71,11.4,42.9,1.4,,500.0
"GLAZED BANANA KREME PIE, BANANA",Krispy Kreme Doughnut Corporation,389.0,2.65,16.8,56.6,0.9,,345.0
"GO BANANAS JUICE DRINK, BANANA",Snapple Beverage Corp.,50.0,0.0,0.0,11.7,,,4.0
"GONE BANANAS CANDY, GONE BANANAS",Ferrara Candy Company,379.0,0.0,5.17,86.2,,,138.0
"GROW & GAIN BANANA SHAKE, BANANA",Abbott Laboratories Inc ,101.0,2.95,3.8,13.9,0.4,,38.0
"HOT BANANA PEPPERS, HOT BANANA","G L Mezzetta, Inc.",17.0,0.0,0.0,6.67,3.3,,1030.0
"MALLO LICIOUS BANANA MARSHMALLOWS, BANANA","Frankford Candy, LLC",333.0,3.33,0.0,83.3,,,0.0
"MANGO BANANA SQUEEZABLES, MANGO BANANA",MANGOOZERS,56.0,0.0,0.0,13.3,3.3,,0.0
"MILD BANANA PEPPERS, MILD BANANA","Trappey's Fine Foods, Inc.",18.0,0.0,0.0,3.57,,,2110.0
"MILKITA, MILKSHAKE CANDY, BANANA, BANANA","Mar Vivo USA, Inc.",375.0,0.0,6.25,81.2,0.0,,31.0
"MUFFINS, BANANA NUT, BANANA NUT","Dawn Food Products, Inc. ",422.0,4.69,21.9,48.4,1.6,,312.0
"ORGANIC BANANA CHIPS, ORGANIC BANANA","Bergin Nut Company, Inc.",519.0,3.7,33.3,55.6,7.4,,0.0
"PINEAPPLE & BANANA JUICE, PINEAPPLE & BANANA","Dole Packaged Foods, LLC",60.0,0.4,0.0,14.8,0.4,,6.0
"PURE FRUIT BITES, BANANA, BANANA",Ouhlala Gourmet Corp,339.0,0.0,0.0,83.9,1.8,,0.0
"ROLLED BANANA CHIPS WITH SESAME, BANANA",Food Castle Inc,459.0,3.53,10.6,84.8,10.6,,198.0
"STRAWBERRY & BANANA BLEND, STRAWBERRY & BANANA",Target Stores,57.0,1.43,0.0,13.6,1.4,,7.0
"STRAWBERRY & BANANA BLEND, STRAWBERRY & BANANA",Target Stores,57.0,0.71,0.0,13.6,2.1,,0.0
"STRAWBERRY & BANANA WAFERS, STRAWBERRY & BANANA",Kid Tested Tunes,500.0,3.33,23.3,73.3,3.3,,100.0
"STRAWBERRY BANANA APPLESAUCE, STRAWBERRY BANANA","National Food Group, Inc. ",53.0,0.0,0.0,0.01,0.9,,0.0
"STRAWBERRY BANANA BLEND, STRAWBERRY BANANA","Tops Markets, LLC",64.0,0.71,0.0,15.7,2.1,,0.0
"STRAWBERRY BANANA BLEND, STRAWBERRY BANANA","Wal-Mart Stores, Inc.",43.0,0.71,0.0,11.4,1.4,,0.0
"STRAWBERRY BANANA BLEND, STRAWBERRY BANANA",Target Stores,57.0,0.71,0.0,15.0,1.4,,0.0
"STRAWBERRY BANANA BLEND, STRAWBERRY BANANA",Target Stores,52.0,0.65,0.0,14.2,2.6,,0.0
"STRAWBERRY BANANA DRINK, STRAWBERRY BANANA",Lasco Foods Limited,33.0,0.0,0.0,7.92,,,21.0
"STRAWBERRY BANANA GELATIN, STRAWBERRY BANANA",The Jel Sert Company,350.0,10.0,0.0,80.0,,,1100.0
"STRAWBERRY BANANA GELATIN, STRAWBERRY BANANA",The Jel Sert Company,350.0,10.0,0.0,80.0,,,1100.0
"STRAWBERRY BANANA GELATO, STRAWBERRY BANANA",Cachere Distributing Inc.,215.0,1.48,12.6,23.0,0.7,,0.0
"STRAWBERRY BANANA LOLLIPOP, STRAWBERRY BANANA",Adams & Brooks Inc,400.0,0.0,0.0,100.0,,,0.0
"STRAWBERRY BANANA MINTS, STRAWBERRY BANANA","Ferrero U.S.A., Incorporated",0.0,0.0,0.0,0.0,,,0.0
"STRAWBERRY BANANA NECTAR, STRAWBERRY; BANANA",,48.0,0.0,0.0,12.1,,,12.0
"STRAWBERRY BANANA POP, STRAWBERRY BANANA",Adams & Brooks Inc,393.0,0.0,0.0,100.0,,,0.0
"STRAWBERRY BANANA SMOOTHIE, STRAWBERRY BANANA","Wal-Mart Stores, Inc.",62.0,0.42,0.0,15.8,0.4,,12.0
"STRAWBERRY BANANA SMOOTHIE, STRAWBERRY BANANA","Fuel for Fire, Inc.",83.0,9.45,0.0,11.8,0.8,,4.0
"STRAWBERRY BANANA SMOOTHIES, STRAWBERRY; BANANA","Danone US, LLC",34.0,4.83,0.97,2.42,0.0,,51.0
"STRAWBERRY BANANA SODA, STRAWBERRY BANANA",H E Butt Grocery Company,51.0,0.0,0.0,12.4,,,10.0
"STRAWBERRY BANANA SPLASH, STRAWBERRIES & BANANAS","Frozsun, Inc.",108.0,0.83,0.0,25.0,1.7,,0.0
"STRAWBERRY BANANA SUPERDRINK, STRAWBERRY BANANA","Body Armor Nutrition, LLC ",28.0,0.0,0.0,7.61,,,8.0
"STRAWBERRY BANANA SUPERDRINK, STRAWBERRY BANANA","Body Armor Nutrition, LLC ",30.0,0.0,0.0,7.61,,,8.0
"STRAWBERRY BANANA YOGURT, STRAWBERRY BANANA","Danone US, LLC",93.0,3.33,3.0,13.3,0.0,,47.0
"STRAWBERRY BANANA YOGURT, STRAWBERRY BANANA","Danone US, LLC",93.0,3.33,3.0,14.0,0.0,,47.0
"STRAWBERRY BANANA YOGURT, STRAWBERRY BANANA","Danone US, LLC",93.0,3.33,3.0,14.0,0.0,,47.0
"STRAWBERRY, BANANA JUICE, STRAWBERRY, BANANA",First World Imports,49.0,0.21,0.0,12.0,0.0,,0.0
"STRAWBERRY-BANANA NECTAR, STRAWBERRY; BANANA","Comercializadora Eloro, S.A.",42.0,0.0,0.0,10.4,0.0,,23.0
"SWEET BANANA BREAD, SWEET BANANA",Valley Specialty Foods,187.0,4.4,12.1,16.5,2.2,,115.0
"SWEET BANANA BREAD, SWEET BANANA","Base Culture, LLC",351.0,8.77,22.8,31.6,5.3,,219.0
WHOLE WHEAT BREAD,"Giant Eagle, Inc.",233.0,11.6,2.33,44.2,7.0,,395.0
WHOLE WHEAT BREAD,Chisi Corporation,232.0,6.62,1.66,43.0,3.3,,596.0
WHOLE WHEAT BREAD,"Ahold USA, Inc. ",233.0,11.6,3.49,44.2,7.0,,395.0
WHOLE WHEAT BREAD,"Flowers Foods, Inc.",246.0,12.3,3.51,43.9,5.3,,404.0
WHOLE WHEAT BREAD,Rhodes International Inc.,220.0,10.0,3.0,44.0,6.0,,380.0
WHOLE WHEAT BREAD,"Ahold USA, Inc. ",219.0,12.5,3.12,40.6,6.2,,422.0
WHOLE WHEAT BREAD,Chau's Food Products Inc.,212.0,9.62,1.92,42.3,1.9,,385.0
WHOLE WHEAT BREAD,"Supervalu, Inc.",233.0,11.6,3.49,44.2,9.3,,372.0
WHOLE WHEAT BREAD,Innisfree Farm Inc,258.0,9.68,6.45,45.2,6.5,,0.0
WHOLE WHEAT BREAD,FRESH & EASY,233.0,9.3,1.16,44.2,9.3,,512.0
WHOLE WHEAT BREAD,Lewis Bakeries Inc.,214.0,10.7,3.57,42.9,7.1,,446.0
WHOLE WHEAT BREAD,"Weis Markets, Inc.",222.0,11.1,2.78,41.7,5.6,,444.0
"Bread, whole wheat",,254.0,12.3,3.55,43.1,6.0,,430.0
"Bread, pita, whole wheat",,262.0,9.8,1.71,55.89,6.1,,421.0
"Bread, whole wheat, with raisins",,290.0,8.63,4.14,56.35,6.5,,480.0
"Bread, whole wheat, toasted",,279.0,13.52,3.9,47.36,6.6,,473.0
"Bread, pita, whole-wheat",,1100.0,9.8,1.71,55.9,6.1,,421.0
"Bread, French or Vienna, whole wheat",,239.0,8.33,1.04,49.1,4.2,,375.0
"Bread, whole wheat, with raisins, toasted",,319.0,9.48,4.55,61.92,7.2,,528.0
"Bread, french or vienna, whole wheat",,239.0,8.33,1.04,49.1,4.2,,375.0
"Bread, white with whole wheat swirl",,260.0,10.86,3.57,46.15,4.2,,440.0
"Bread, whole-wheat, commercially prepared",,1060.0,12.3,3.55,43.1,6.0,,450.0
"Bread, whole-wheat, commercially prepared",,1060.0,12.4,3.5,42.7,6.0,,455.0
"Bread, French or Vienna, whole wheat, toasted",,263.0,9.15,1.14,53.96,4.6,,412.0
"Bread, white with whole wheat swirl, toasted",,301.0,12.45,4.12,53.39,4.7,,508.0
"Bread, whole-wheat, commercially prepared, toasted",,306.0,16.3,4.07,51.2,7.5,,565.0
"Bread, whole-wheat, prepared from recipe",,278.0,8.4,5.4,51.4,6.0,,346.0
"Bread, wheat",,274.0,10.7,4.53,47.5,4.0,,473.0
"Bread, wheat or cracked wheat",,274.0,10.67,4.53,47.54,4.0,,450.0
"Bread, naan, whole wheat, commercially prepared, refrigerated",,286.0,10.2,6.7,46.2,4.8,,467.0
"Bread, paratha, whole wheat, commercially prepared, frozen",,1360.0,6.36,13.2,45.4,9.6,,452.0
"Bread, whole-wheat, prepared from recipe, toasted",,305.0,9.2,5.9,56.4,6.7,,381.0
"Bread, wheat or cracked wheat, toasted",,301.0,11.72,4.98,52.24,4.4,,495.0
"Bread, wheat or cracked wheat, with raisins",,292.0,8.66,3.72,57.73,3.9,,462.0
"Bread, pita, wheat or cracked wheat",,262.0,9.8,1.71,55.89,6.1,,421.0
"Bread, cracked-wheat",,260.0,8.7,3.9,49.5,5.5,,538.0
"Bread, sprouted wheat",,188.0,13.16,0.0,33.88,5.3,,474.0
"Bread, wheat, sprouted",,188.0,13.2,0.0,33.9,5.3,,474.0
"Bread, wheat, toasted",,1310.0,13.0,4.27,55.8,4.7,,601.0
"Bread, white wheat",,994.0,10.7,2.15,43.9,9.2,,478.0
"Bread, chapati or roti, whole wheat, commercially prepared, frozen",,299.0,7.85,9.2,46.1,9.7,,298.0
"Bagel, whole wheat",,250.0,10.2,1.53,48.89,4.1,,439.0
"Roll, whole wheat",,273.0,8.6,6.3,46.0,3.8,,524.0
"Bread, wheat or cracked wheat, with raisins, toasted",,321.0,9.51,4.08,63.44,4.3,,507.0
"Crackers, whole-wheat",,427.0,10.6,14.1,69.6,10.3,,800.0
"Muffin, whole wheat",,372.0,7.8,18.44,44.01,3.5,,393.0
"Tortilla, whole wheat",,310.0,9.76,9.76,45.89,9.8,,617.0
Nutella sandwich on wheat bread,,359.0,9.32,12.93,51.31,5.4,,301.0
"Bread, whole wheat, made from home recipe or purchased at bakery",,267.0,10.38,4.26,46.96,6.8,,607.0
Egg sandwich on wheat bread,,226.0,11.48,9.25,24.13,2.8,,348.0
"Jelly sandwich, on wheat bread",,265.0,6.9,2.39,55.23,3.6,,276.0
"Wheat flour, whole-grain, soft wheat",,332.0,9.61,1.95,74.5,13.1,,3.0
"Bread, reduced-calorie, wheat",,907.0,13.3,2.92,42.5,11.1,,332.0
"Bread, sprouted wheat, toasted",,207.0,14.46,0.0,37.23,5.8,,521.0
"Bread, wheat, sprouted, toasted",,856.0,14.3,0.0,36.8,5.7,,515.0
Wheat bread as ingredient in sandwiches,,264.0,11.4,3.98,45.42,5.4,,440.0
"Wheat flours, bread, unenriched",,361.0,12.0,1.66,72.5,2.4,,2.0
"Bread, whole wheat, made from home recipe or purchased at bakery, toasted",,293.0,11.4,4.68,51.61,7.4,,667.0
"Muffin, English, whole wheat",,223.0,8.7,2.0,44.8,4.6,,353.0
"Breadsticks, hard, whole wheat",,425.0,15.08,10.98,67.9,7.1,,577.0
"Bagel, whole wheat, with raisins",,255.0,9.51,1.4,51.93,4.1,,398.0
"Crackers, matzo, whole-wheat",,351.0,13.1,1.5,78.9,11.8,,2.0
"Flour, whole wheat, unenriched",,1550.0,15.1,2.73,71.2,10.6,,3.0
"Muffins, English, whole-wheat",,203.0,8.8,2.1,40.4,6.7,,364.0
"Rolls, dinner, whole-wheat",,266.0,8.7,4.7,51.1,7.5,,521.0
"Whole wheat cereal, cooked",,47.0,1.55,0.28,10.39,1.3,,71.0
"Almond butter sandwich, on wheat bread",,395.0,14.62,20.93,36.97,6.9,,368.0
"Egg sandwich on wheat bread, with cheese",,246.0,12.86,12.21,21.18,2.4,,450.0
"Egg sandwich on wheat bread, with meat",,266.0,12.86,15.8,17.99,2.1,,439.0
"Bread, wheat or cracked wheat, reduced calorie and/or high fiber",,207.0,8.91,2.55,44.91,10.7,,465.0
"Wheat flour, white, bread, enriched",,1510.0,12.0,1.66,72.5,2.4,,2.0
"Bread, whole grain white",,238.0,10.66,2.15,43.91,9.2,,450.0
"Muffin, English, whole wheat, with raisins",,230.0,8.21,1.84,47.94,4.6,,323.0
"Roll, whole wheat, hamburger bun",,269.0,12.38,4.38,44.93,6.1,,477.0
"Cheese sandwich, American cheese, on wheat bread",,295.0,13.62,13.52,29.67,3.2,,848.0
"Chili hot dog sandwich, on wheat bread",,215.0,10.29,12.79,14.7,2.4,,551.0
"Hot dog sandwich, beef, on wheat bread",,294.0,11.6,19.72,17.56,1.9,,694.0
"Hot dog sandwich, NFS, on wheat bread",,294.0,11.6,19.72,17.56,1.9,,694.0
"Crackers, whole-wheat, low salt",,443.0,8.8,17.2,68.6,10.5,,186.0
"Crackers, whole-wheat, reduced fat",,416.0,11.3,7.59,75.5,10.9,,745.0
"Hot dog sandwich, turkey, on wheat bread",,237.0,11.94,12.7,18.16,1.9,,719.0
"Bread, wheat or cracked wheat, reduced calorie and/or high fiber, toasted",,228.0,9.79,2.8,49.35,11.8,,511.0
"Cheese sandwich, cheddar cheese, on wheat bread",,323.0,16.3,16.34,27.72,3.2,,528.0
"Egg sandwich on wheat bread, with meat and cheese",,277.0,13.75,17.29,16.46,1.8,,506.0
"Almond butter and jelly sandwich, on wheat bread",,372.0,12.04,17.2,42.86,5.8,,307.0
"Bread, whole grain white, toasted",,262.0,11.71,2.36,48.25,10.1,,495.0
"Bread, wheat or cracked wheat, made from home recipe or purchased at bakery",,271.0,10.33,3.72,49.2,3.4,,576.0
"Roll, whole wheat, hot dog bun",,269.0,12.38,4.38,44.93,6.1,,477.0
"Pizza, cheese, whole wheat thick crust",,265.0,11.4,10.4,32.96,3.9,,548.0
"Pizza, with meat, whole wheat thick crust",,284.0,12.51,13.98,28.13,3.3,,628.0
"Grilled cheese sandwich, American cheese, on wheat bread",,341.0,12.05,20.98,26.13,2.8,,817.0
"Hot dog sandwich, meat and poultry, on wheat bread",,272.0,10.3,17.21,18.95,1.9,,694.0
"Hot dog sandwich, reduced fat, on wheat bread",,233.0,12.94,11.63,19.0,1.9,,554.0
"Crackers, standard snack-type, with whole wheat",,463.0,7.29,17.8,68.4,4.9,,748.0
"Pancakes, whole wheat, dry mix, incomplete",,350.0,10.5,1.32,74.1,7.9,,1630.0
"Pancakes, whole-wheat, dry mix, incomplete",,344.0,12.8,1.5,71.0,,,1420.0
"Pizza, cheese, whole wheat thin crust",,267.0,11.77,12.38,28.62,3.5,,543.0
"Pizza, with meat, whole wheat thin crust",,289.0,13.05,16.35,23.58,2.9,,641.0
"Rolls, hamburger or hot dog, whole wheat",,269.0,12.4,4.38,44.9,6.1,,477.0
"Tortillas, ready-to-bake or -fry, whole wheat",,1300.0,9.76,9.76,45.9,9.8,,617.0
"Grilled cheese sandwich, cheddar cheese, on wheat bread",,366.0,14.4,23.46,24.42,2.8,,536.0
"Cheese sandwich, reduced fat cheese, on wheat bread",,254.0,13.95,8.14,31.08,3.2,,753.0
"Bread, wheat or cracked wheat, made from home recipe or purchased at bakery, toasted",,297.0,11.35,4.09,54.06,3.7,,634.0
"WHOLE WHEAT BREAD, WHOLE WHEAT",Bashas' Markets,278.0,8.33,2.78,55.6,5.6,,444.0
"Pasta, whole grain, 51% whole wheat, remaining unenriched semolina, cooked",,159.0,5.82,1.5,31.5,4.6,,6.0
"Pasta, whole grain, 51% whole wheat, remaining unenriched semolina, dry",,1520.0,13.5,2.68,73.1,10.1,,11.0
"Pizza, cheese and vegetables, whole wheat thick crust",,231.0,9.67,9.29,28.74,3.5,,498.0
"Peanut butter sandwich, with regular peanut butter, on wheat bread",,380.0,15.16,20.46,37.38,5.3,,435.0
"Grilled cheese sandwich, reduced fat cheese, on wheat bread",,305.0,12.34,16.25,27.38,2.8,,734.0
"Babyfood, cereal, whole wheat, with apples, dry fortified",,1680.0,6.6,4.8,83.2,6.7,,66.0
"Cereals, QUAKER, Whole Wheat Natural Cereal, dry",,1390.0,11.8,2.0,74.8,9.9,,8.0
"Cereals, whole wheat hot natural cereal, dry",,1430.0,11.2,2.0,75.2,9.5,,2.0
"Crackers, saltines, whole wheat (includes multi-grain)",,1660.0,7.14,10.7,68.2,6.7,,1210.0
"Pancakes, whole-wheat, dry mix, incomplete, prepared",,208.0,8.5,6.5,29.4,2.8,,572.0
"Pizza, cheese and vegetables, whole wheat thin crust",,226.0,9.61,10.64,24.39,3.1,,483.0
"Waffles, whole wheat, lowfat, frozen, ready-to-heat",,257.0,7.14,3.57,49.2,4.3,,557.0
"Bread, multi-grain (includes whole-grain)",,1110.0,13.4,4.23,43.3,7.4,,381.0
"Schar, Gluten-Free, Wheat-Free, Classic White Bread",,240.0,3.81,4.47,46.1,5.1,,441.0
"Peanut butter sandwich, with reduced fat peanut butter, on wheat bread",,353.0,16.44,14.42,42.02,5.3,,475.0
"100% WHOLE WHEAT BREAD, WHOLE WHEAT","Perfection Bakeries, Inc.",258.0,9.68,3.23,48.4,6.5,,371.0
"100% WHOLE WHEAT BREAD, WHOLE WHEAT",Lewis Bakeries Inc.,240.0,12.0,3.0,42.0,6.0,,440.0
"100% WHOLE WHEAT BREAD, WHOLE WHEAT","General Mills, Inc.",250.0,10.7,3.57,42.9,7.1,,536.0
"100% WHOLE WHEAT BREAD, WHOLE WHEAT","BIMBO BAKERIES USA, INC.",263.0,10.5,2.63,50.0,5.3,,368.0
"100% WHOLE WHEAT BREAD, WHOLE WHEAT","Hy-Vee, Inc.",256.0,11.6,3.49,48.8,7.0,,349.0
"100% WHOLE WHEAT BREAD, WHOLE WHEAT",The Long Company,240.0,10.0,3.0,48.0,6.0,,440.0
"100% WHOLE WHEAT BREAD, WHOLE WHEAT","Tops Markets, LLC",233.0,11.6,2.33,46.5,7.0,,419.0
"100% WHOLE WHEAT BREAD, WHOLE WHEAT","BIMBO BAKERIES USA, INC.",263.0,10.5,3.95,50.0,5.3,,368.0
"100% WHOLE WHEAT BREAD, WHOLE WHEAT",Market Basket Inc.,214.0,14.3,3.57,42.9,7.1,,411.0
"100% WHOLE WHEAT BREAD, WHOLE WHEAT",Lewis Bakeries Inc.,171.0,12.2,2.44,39.0,12.2,,366.0
"100% WHOLE WHEAT BREAD, WHOLE WHEAT",Lewis Bakeries Inc.,214.0,10.7,3.57,42.9,7.1,,446.0
"100% WHOLE WHEAT BREAD, WHOLE WHEAT","Bimbo Bakeries USA, Inc.",240.0,10.0,4.0,46.0,6.0,,440.0
"100% WHOLE WHEAT BREAD, WHOLE WHEAT",United States Bakery,250.0,12.5,2.5,45.0,7.5,,475.0
"100% WHOLE WHEAT BREAD, WHOLE WHEAT","Publix Super Markets, Inc.",233.0,11.6,3.49,46.5,7.0,,395.0
"100% WHOLE WHEAT BREAD, WHOLE WHEAT","Perfection Bakeries, Inc.",259.0,11.1,3.7,48.2,7.4,,444.0
"SPROUTED WHOLE WHEAT BREAD, WHOLE WHEAT",Alvarado Street Bakery,237.0,15.8,0.0,44.7,5.3,,447.0
"WHOLE WHEAT BREAD CRUMBS, WHOLE WHEAT",Quality Frozen Foods Inc.,333.0,13.3,1.67,66.7,6.7,,380.0
"WHOLE WHEAT CRISPY BREADS, WHOLE WHEAT",Malin + Goetz Inc,400.0,13.3,10.0,73.3,6.7,,700.0
"WHOLE WHEAT ENRICHED BREAD, WHOLE WHEAT","Brookshire Brothers, Ltd",268.0,12.2,4.88,46.3,7.3,,561.0
"WHOLE WHEAT ORGANIC BREAD, WHOLE WHEAT",Target Stores,246.0,10.5,1.75,45.6,8.8,,474.0
"WHOLE WHEAT PITA BREAD, WHOLE WHEAT","Wegmans Food Markets, Inc. ",233.0,11.6,2.33,44.2,7.0,,442.0
"WHOLE WHEAT PITA BREAD, WHOLE WHEAT",The Prairie Gourmet,246.0,9.84,1.07,49.2,4.9,,262.0
"WHOLE WHEAT PITA BREAD, WHOLE WHEAT","Ahold USA, Inc. ",254.0,9.86,2.11,52.1,8.5,,282.0
"WHOLE WHEAT PITA BREAD, WHOLE WHEAT","Wegmans Food Markets, Inc. ",233.0,11.6,2.33,44.2,7.0,,442.0
"WHOLE WHEAT PITA BREAD, WHOLE WHEAT",Target Stores,259.0,11.8,2.94,49.4,5.9,,400.0
"WHOLE WHEAT PITA BREADS, WHOLE WHEAT",Mission Foods Inc ,263.0,12.3,1.75,49.1,8.8,,526.0
"WHOLE WHEAT SANDWICH BREAD, WHOLE WHEAT","Whole Foods Market, Inc.",250.0,12.5,3.75,47.5,7.5,,350.0
"WHOLE WHEAT SANDWICH BREAD, WHOLE WHEAT","Whole Foods Market, Inc.",233.0,11.6,3.49,44.2,7.0,,395.0
"WHOLE WHEAT SANDWICH BREAD, WHOLE WHEAT","Whole Foods Market, Inc.",250.0,12.5,3.75,47.5,7.5,,350.0
"WHOLE WHEAT SLICED BREAD, WHOLE WHEAT","Meijer, Inc.",250.0,12.5,2.5,45.0,7.5,,550.0
"Bread, multi-grain, toasted (includes whole-grain)",,288.0,14.5,4.6,47.1,8.1,,414.0
"School Lunch, chicken nuggets, whole grain breaded",,270.0,15.7,12.9,22.9,2.2,,511.0
"School Lunch, chicken patty, whole grain breaded",,1030.0,17.6,13.9,12.5,2.3,,467.0
"Roll, wheat or cracked wheat",,273.0,8.6,6.3,46.0,3.8,,524.0
"Peanut butter and jelly sandwich, with reduced fat peanut butter, on wheat bread",,337.0,13.53,11.85,47.01,4.6,,395.0
"Cereals, whole wheat hot natural cereal, cooked with water, with salt",,259.0,2.0,0.4,13.7,1.6,,233.0
"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",,1510.0,11.1,2.6,81.3,7.7,,203.0
"Crackers, wheat, plain (Wheat Thins)",,441.0,8.94,15.26,70.14,8.6,,750.0
"Muffin, English, wheat or cracked wheat",,223.0,8.7,2.0,44.8,4.6,,353.0
"Udi's, Gluten Free, Soft & Hearty Whole Grain Bread",,1300.0,7.25,9.34,49.1,4.9,,510.0
"Crackers, wheat, flavored (Wheat Thins)",,441.0,8.94,15.26,70.14,8.6,,750.0
"WHEAT 100% WHOLE BREAD, WHEAT",Smart & Final Iris Corporation,256.0,11.6,3.49,48.8,7.0,,349.0
"Biscuit, wheat",,362.0,7.5,18.19,43.9,4.5,,930.0
"Peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on wheat bread",,360.0,12.48,16.81,43.2,4.5,,363.0
"Crackers, wheat",,441.0,8.94,15.26,70.14,8.6,,750.0
"Cereals, whole wheat hot natural cereal, cooked with water, without salt",,259.0,2.0,0.4,13.7,1.6,,0.0
"Pasta, whole-wheat, cooked (Includes foods for USDA's Food Distribution Program)",,625.0,5.99,1.71,30.1,3.9,,4.0
"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",,352.0,13.9,2.93,73.4,9.2,,6.0
"Wheat flour, whole-grain (Includes foods for USDA's Food Distribution Program)",,1420.0,13.2,2.5,72.0,10.7,,2.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT","Publix Super Markets, Inc.",214.0,14.3,3.57,42.9,7.1,,411.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT",Lewis Bakeries Inc.,240.0,14.0,3.0,42.0,6.0,,460.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT",Whole Grains Bakery,209.0,9.3,2.33,37.2,2.3,,442.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT","Bimbo Bakeries USA, Inc.",231.0,11.5,3.85,46.2,7.7,,442.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT",The Kroger Co.,233.0,9.3,3.49,46.5,7.0,,326.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT",Harris-Teeter Inc.,255.0,10.6,3.19,46.8,6.4,,447.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT","Bimbo Bakeries USA, Inc.",240.0,10.0,4.0,46.0,6.0,,440.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT","Safeway, Inc.",250.0,11.5,2.88,48.1,5.8,,442.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT","Meijer, Inc.",259.0,11.1,3.7,48.2,7.4,,389.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT","Lepage Bakeries, Inc.",256.0,11.6,4.65,48.8,7.0,,581.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT",Rotella's Italian Bakery Inc.,250.0,11.1,5.56,41.7,8.3,,389.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT","Bimbo Bakeries USA, Inc.",256.0,11.6,3.49,48.8,4.7,,349.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT",Target Stores,279.0,14.0,4.65,44.2,7.0,,442.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT",SARA LEE,231.0,11.5,3.85,46.2,7.7,,442.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT","Safeway, Inc.",244.0,11.1,3.33,46.7,6.7,,467.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT",Schwebel Baking Company,240.0,12.0,3.0,44.0,6.0,,440.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT","Hy-Vee, Inc.",250.0,11.5,2.88,48.1,5.8,,423.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT","Bimbo Bakeries USA, Inc.",263.0,10.5,2.63,47.4,7.9,,395.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT",Target Stores,250.0,10.0,3.75,47.5,7.5,,525.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT",Lewis Bakeries Inc.,171.0,12.2,2.44,39.0,12.2,,366.0
